Case ID,Complete Timestamp,Activity,Case ID_2,Complete Timestamp_2,Activity_2,Connection
Case 1013,2011-11-30 16:32:54,Assign seriousness,Case 1013,2011-12-12 16:50:49,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1013,2011-12-12 16:50:49,Resolve ticket,Case 1013,2012-01-13 16:40:37,Closed,Resolve ticket --> Closed
Case 1014,2010-12-28 10:41:06,Assign seriousness,Case 1014,2010-12-30 08:50:44,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1014,2010-12-30 08:50:44,Take in charge ticket,Case 1014,2010-12-30 08:51:13,Wait,Take in charge ticket --> Wait
Case 1014,2010-12-30 08:51:13,Wait,Case 1014,2011-01-13 16:53:03,Take in charge ticket,Wait --> Take in charge ticket
Case 1014,2011-01-13 16:53:03,Take in charge ticket,Case 1014,2011-01-13 16:55:17,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1014,2011-01-13 16:55:17,Resolve ticket,Case 1014,2011-01-28 16:55:37,Closed,Resolve ticket --> Closed
Case 1015,2012-02-10 14:44:10,Assign seriousness,Case 1015,2012-02-10 15:48:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1015,2012-02-10 15:48:04,Take in charge ticket,Case 1015,2012-02-15 11:07:17,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1015,2012-02-15 11:07:17,Resolve ticket,Case 1015,2012-03-14 14:50:15,Closed,Resolve ticket --> Closed
Case 1016,2011-04-13 07:43:01,Assign seriousness,Case 1016,2011-04-13 07:45:30,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1016,2011-04-13 07:45:30,Take in charge ticket,Case 1016,2011-04-13 14:57:33,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1016,2011-04-13 14:57:33,Resolve ticket,Case 1016,2011-06-11 07:50:56,Closed,Resolve ticket --> Closed
Case 1017,2012-09-07 12:24:46,Assign seriousness,Case 1017,2012-09-10 09:51:17,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1017,2012-09-10 09:51:17,Take in charge ticket,Case 1017,2012-09-17 09:56:36,Wait,Take in charge ticket --> Wait
Case 1017,2012-09-17 09:56:36,Wait,Case 1017,2012-10-02 07:03:02,Resolve ticket,Wait --> Resolve ticket
Case 1017,2012-10-02 07:03:02,Resolve ticket,Case 1017,2012-10-02 07:03:22,Resolve ticket,Resolve ticket --> Resolve ticket
Case 1017,2012-10-02 07:03:22,Resolve ticket,Case 1017,2012-10-17 07:03:17,Closed,Resolve ticket --> Closed
Case 1018,2010-09-16 09:03:22,Assign seriousness,Case 1018,2010-09-16 09:48:31,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1018,2010-09-16 09:48:31,Take in charge ticket,Case 1018,2010-09-21 08:24:19,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1018,2010-09-21 08:24:19,Resolve ticket,Case 1018,2010-11-05 09:24:51,Closed,Resolve ticket --> Closed
Case 1019,2013-02-14 15:35:55,Assign seriousness,Case 1019,2013-03-04 08:12:43,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1019,2013-03-04 08:12:43,Take in charge ticket,Case 1019,2013-03-04 08:33:32,Wait,Take in charge ticket --> Wait
Case 1019,2013-03-04 08:33:32,Wait,Case 1019,2013-03-04 10:43:19,Resolve ticket,Wait --> Resolve ticket
Case 1019,2013-03-04 10:43:19,Resolve ticket,Case 1019,2013-03-19 10:43:39,Closed,Resolve ticket --> Closed
Case 102,2012-01-30 09:09:29,Assign seriousness,Case 102,2012-01-30 09:09:57,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 102,2012-01-30 09:09:57,Take in charge ticket,Case 102,2012-01-31 08:12:06,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 102,2012-01-31 08:12:06,Resolve ticket,Case 102,2012-03-16 09:12:11,Closed,Resolve ticket --> Closed
Case 1020,2012-05-15 08:09:38,Assign seriousness,Case 1020,2012-05-15 08:09:57,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1020,2012-05-15 08:09:57,Take in charge ticket,Case 1020,2012-05-28 15:21:32,Wait,Take in charge ticket --> Wait
Case 1020,2012-05-28 15:21:32,Wait,Case 1020,2012-06-04 10:49:46,Resolve ticket,Wait --> Resolve ticket
Case 1020,2012-06-04 10:49:46,Resolve ticket,Case 1020,2012-07-06 13:30:28,Closed,Resolve ticket --> Closed
Case 1021,2010-05-18 14:59:36,Assign seriousness,Case 1021,2010-05-19 08:08:06,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1021,2010-05-19 08:08:06,Take in charge ticket,Case 1021,2010-05-20 10:17:39,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1021,2010-05-20 10:17:39,Resolve ticket,Case 1021,2010-06-25 15:01:30,Closed,Resolve ticket --> Closed
Case 1022,2012-01-05 16:55:40,Assign seriousness,Case 1022,2012-01-05 16:55:53,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1022,2012-01-05 16:55:53,Assign seriousness,Case 1022,2012-01-11 11:59:45,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1022,2012-01-11 11:59:45,Take in charge ticket,Case 1022,2012-01-12 10:39:39,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1022,2012-01-12 10:39:39,Resolve ticket,Case 1022,2012-02-07 17:00:35,Closed,Resolve ticket --> Closed
Case 1023,2013-03-12 09:39:30,Assign seriousness,Case 1023,2013-03-28 13:14:48,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1023,2013-03-28 13:14:48,Resolve ticket,Case 1023,2013-03-28 13:14:48,Resolve ticket,Resolve ticket --> Resolve ticket
Case 1023,2013-03-28 13:14:48,Resolve ticket,Case 1023,2013-04-12 12:15:06,Closed,Resolve ticket --> Closed
Case 1024,2011-07-14 07:22:19,Assign seriousness,Case 1024,2011-07-15 10:40:41,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1024,2011-07-15 10:40:41,Assign seriousness,Case 1024,2011-07-15 12:44:17,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1024,2011-07-15 12:44:17,Take in charge ticket,Case 1024,2011-07-18 08:33:09,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1024,2011-07-18 08:33:09,Resolve ticket,Case 1024,2011-08-20 07:31:38,Closed,Resolve ticket --> Closed
Case 1025,2011-03-18 09:41:58,Assign seriousness,Case 1025,2011-03-18 09:42:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1025,2011-03-18 09:42:34,Take in charge ticket,Case 1025,2011-03-25 14:24:59,Wait,Take in charge ticket --> Wait
Case 1025,2011-03-25 14:24:59,Wait,Case 1025,2011-04-20 15:42:11,Take in charge ticket,Wait --> Take in charge ticket
Case 1025,2011-04-20 15:42:11,Take in charge ticket,Case 1025,2011-04-20 15:42:20,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1025,2011-04-20 15:42:20,Resolve ticket,Case 1025,2011-05-05 15:42:36,Closed,Resolve ticket --> Closed
Case 1026,2013-05-13 15:56:12,Assign seriousness,Case 1026,2013-05-20 08:37:45,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1026,2013-05-20 08:37:45,Take in charge ticket,Case 1026,2013-05-20 08:38:03,Require upgrade,Take in charge ticket --> Require upgrade
Case 1026,2013-05-20 08:38:03,Require upgrade,Case 1026,2013-06-04 16:04:46,Resolve ticket,Require upgrade --> Resolve ticket
Case 1026,2013-06-04 16:04:46,Resolve ticket,Case 1026,2013-06-19 16:05:00,Closed,Resolve ticket --> Closed
Case 1027,2013-04-16 13:36:13,Assign seriousness,Case 1027,2013-04-29 08:23:18,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1027,2013-04-29 08:23:18,Take in charge ticket,Case 1027,2013-04-29 15:18:01,Wait,Take in charge ticket --> Wait
Case 1027,2013-04-29 15:18:01,Wait,Case 1027,2013-05-15 09:33:16,Resolve ticket,Wait --> Resolve ticket
Case 1027,2013-05-15 09:33:16,Resolve ticket,Case 1027,2013-05-30 09:33:30,Closed,Resolve ticket --> Closed
Case 1028,2010-12-28 08:31:42,Assign seriousness,Case 1028,2011-01-14 10:45:45,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1028,2011-01-14 10:45:45,Take in charge ticket,Case 1028,2011-01-14 10:46:06,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1028,2011-01-14 10:46:06,Resolve ticket,Case 1028,2011-01-29 10:46:26,Closed,Resolve ticket --> Closed
Case 1029,2012-05-09 09:25:28,Assign seriousness,Case 1029,2012-05-09 13:22:38,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1029,2012-05-09 13:22:38,Take in charge ticket,Case 1029,2012-05-09 13:40:52,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1029,2012-05-09 13:40:52,Resolve ticket,Case 1029,2012-06-09 09:30:28,Closed,Resolve ticket --> Closed
Case 103,2010-06-07 07:30:54,Assign seriousness,Case 103,2010-06-07 07:49:10,Assign seriousness,Assign seriousness --> Assign seriousness
Case 103,2010-06-07 07:49:10,Assign seriousness,Case 103,2010-06-07 15:16:44,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 103,2010-06-07 15:16:44,Take in charge ticket,Case 103,2010-06-08 10:37:29,Wait,Take in charge ticket --> Wait
Case 103,2010-06-08 10:37:29,Wait,Case 103,2010-06-09 07:18:05,Take in charge ticket,Wait --> Take in charge ticket
Case 103,2010-06-09 07:18:05,Take in charge ticket,Case 103,2010-06-09 07:18:28,Create SW anomaly,Take in charge ticket --> Create SW anomaly
Case 103,2010-06-09 07:18:28,Create SW anomaly,Case 103,2010-06-16 09:23:07,Resolve ticket,Create SW anomaly --> Resolve ticket
Case 103,2010-06-16 09:23:07,Resolve ticket,Case 103,2010-07-16 09:23:33,Closed,Resolve ticket --> Closed
Case 1030,2010-02-04 09:40:52,Assign seriousness,Case 1030,2010-02-04 09:41:05,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1030,2010-02-04 09:41:05,Assign seriousness,Case 1030,2010-02-04 09:41:23,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1030,2010-02-04 09:41:23,Take in charge ticket,Case 1030,2010-02-04 09:41:33,Create SW anomaly,Take in charge ticket --> Create SW anomaly
Case 1030,2010-02-04 09:41:33,Create SW anomaly,Case 1030,2010-02-22 14:05:31,Resolve ticket,Create SW anomaly --> Resolve ticket
Case 1030,2010-02-22 14:05:31,Resolve ticket,Case 1030,2010-03-09 14:05:44,Closed,Resolve ticket --> Closed
Case 1031,2011-02-24 13:41:36,Assign seriousness,Case 1031,2011-02-24 13:41:54,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1031,2011-02-24 13:41:54,Take in charge ticket,Case 1031,2011-03-07 16:53:23,Wait,Take in charge ticket --> Wait
Case 1031,2011-03-07 16:53:23,Wait,Case 1031,2011-03-25 09:53:46,Take in charge ticket,Wait --> Take in charge ticket
Case 1031,2011-03-25 09:53:46,Take in charge ticket,Case 1031,2011-03-25 09:54:11,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1031,2011-03-25 09:54:11,Resolve ticket,Case 1031,2011-04-15 14:50:58,Closed,Resolve ticket --> Closed
Case 1032,2012-04-11 15:07:25,Assign seriousness,Case 1032,2012-04-11 15:07:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1032,2012-04-11 15:07:34,Take in charge ticket,Case 1032,2012-04-17 12:29:31,Wait,Take in charge ticket --> Wait
Case 1032,2012-04-17 12:29:31,Wait,Case 1032,2012-05-15 12:31:57,Resolve ticket,Wait --> Resolve ticket
Case 1032,2012-05-15 12:31:57,Resolve ticket,Case 1032,2012-06-01 15:20:26,Closed,Resolve ticket --> Closed
Case 1033,2011-11-10 08:25:05,Assign seriousness,Case 1033,2011-11-18 11:29:26,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1033,2011-11-18 11:29:26,Take in charge ticket,Case 1033,2011-11-23 16:07:21,Wait,Take in charge ticket --> Wait
Case 1033,2011-11-23 16:07:21,Wait,Case 1033,2011-12-12 09:40:33,Resolve ticket,Wait --> Resolve ticket
Case 1033,2011-12-12 09:40:33,Resolve ticket,Case 1033,2011-12-29 11:10:47,Closed,Resolve ticket --> Closed
Case 1034,2011-12-13 08:22:23,Assign seriousness,Case 1034,2011-12-13 08:27:18,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1034,2011-12-13 08:27:18,Take in charge ticket,Case 1034,2011-12-13 11:50:30,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1034,2011-12-13 11:50:30,Resolve ticket,Case 1034,2012-01-13 08:30:30,Closed,Resolve ticket --> Closed
Case 1035,2010-12-20 13:19:58,Assign seriousness,Case 1035,2010-12-20 16:42:41,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1035,2010-12-20 16:42:41,Assign seriousness,Case 1035,2010-12-20 16:42:50,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1035,2010-12-20 16:42:50,Take in charge ticket,Case 1035,2010-12-21 08:59:57,Wait,Take in charge ticket --> Wait
Case 1035,2010-12-21 08:59:57,Wait,Case 1035,2010-12-22 16:57:41,Take in charge ticket,Wait --> Take in charge ticket
Case 1035,2010-12-22 16:57:41,Take in charge ticket,Case 1035,2010-12-22 16:58:03,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1035,2010-12-22 16:58:03,Resolve ticket,Case 1035,2011-01-21 16:58:17,Closed,Resolve ticket --> Closed
Case 1036,2012-05-29 15:38:19,Assign seriousness,Case 1036,2012-05-29 15:38:27,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1036,2012-05-29 15:38:27,Take in charge ticket,Case 1036,2012-05-30 14:35:37,Wait,Take in charge ticket --> Wait
Case 1036,2012-05-30 14:35:37,Wait,Case 1036,2012-05-30 15:32:51,Take in charge ticket,Wait --> Take in charge ticket
Case 1036,2012-05-30 15:32:51,Take in charge ticket,Case 1036,2012-06-01 12:40:27,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1036,2012-06-01 12:40:27,Resolve ticket,Case 1036,2012-06-30 07:41:01,Closed,Resolve ticket --> Closed
Case 1037,2011-10-24 10:11:15,Assign seriousness,Case 1037,2011-10-24 10:19:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1037,2011-10-24 10:19:04,Take in charge ticket,Case 1037,2011-10-24 11:02:57,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1037,2011-10-24 11:02:57,Resolve ticket,Case 1037,2011-12-09 11:20:28,Closed,Resolve ticket --> Closed
Case 1038,2012-07-24 15:29:40,Assign seriousness,Case 1038,2012-07-25 13:33:25,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1038,2012-07-25 13:33:25,Take in charge ticket,Case 1038,2012-07-25 13:53:33,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1038,2012-07-25 13:53:33,Resolve ticket,Case 1038,2012-09-01 08:14:01,Closed,Resolve ticket --> Closed
Case 1039,2012-06-28 10:14:33,Assign seriousness,Case 1039,2012-06-28 10:55:42,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1039,2012-06-28 10:55:42,Take in charge ticket,Case 1039,2012-06-29 14:35:15,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1039,2012-06-29 14:35:15,Resolve ticket,Case 1039,2012-07-31 10:20:39,Closed,Resolve ticket --> Closed
Case 104,2011-01-27 08:34:59,Assign seriousness,Case 104,2011-01-27 09:32:40,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 104,2011-01-27 09:32:40,Take in charge ticket,Case 104,2011-01-27 09:34:24,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 104,2011-01-27 09:34:24,Resolve ticket,Case 104,2011-03-05 08:42:36,Closed,Resolve ticket --> Closed
Case 1040,2012-02-20 08:07:43,Assign seriousness,Case 1040,2012-02-20 08:07:57,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1040,2012-02-20 08:07:57,Take in charge ticket,Case 1040,2012-02-21 16:35:15,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1040,2012-02-21 16:35:15,Resolve ticket,Case 1040,2012-04-04 07:10:38,Closed,Resolve ticket --> Closed
Case 1041,2012-05-02 10:44:47,Assign seriousness,Case 1041,2012-05-02 10:44:54,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1041,2012-05-02 10:44:54,Take in charge ticket,Case 1041,2012-05-08 08:37:30,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1041,2012-05-08 08:37:30,Resolve ticket,Case 1041,2012-06-09 10:50:29,Closed,Resolve ticket --> Closed
Case 1042,2012-05-23 08:22:52,Assign seriousness,Case 1042,2012-05-23 10:07:38,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1042,2012-05-23 10:07:38,Take in charge ticket,Case 1042,2012-05-23 14:24:29,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1042,2012-05-23 14:24:29,Resolve ticket,Case 1042,2012-06-23 08:30:21,Closed,Resolve ticket --> Closed
Case 1043,2012-11-15 08:29:06,Assign seriousness,Case 1043,2012-11-19 15:26:43,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1043,2012-11-19 15:26:43,Take in charge ticket,Case 1043,2012-11-22 16:04:35,Wait,Take in charge ticket --> Wait
Case 1043,2012-11-22 16:04:35,Wait,Case 1043,2012-12-17 09:28:26,Resolve ticket,Wait --> Resolve ticket
Case 1043,2012-12-17 09:28:26,Resolve ticket,Case 1043,2013-01-01 09:28:46,Closed,Resolve ticket --> Closed
Case 1044,2010-05-13 14:45:13,Assign seriousness,Case 1044,2010-05-17 16:21:00,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1044,2010-05-17 16:21:00,Take in charge ticket,Case 1044,2010-05-17 17:10:24,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1044,2010-05-17 17:10:24,Resolve ticket,Case 1044,2010-05-18 08:21:15,Take in charge ticket,Resolve ticket --> Take in charge ticket
Case 1044,2010-05-18 08:21:15,Take in charge ticket,Case 1044,2010-05-18 08:44:56,Wait,Take in charge ticket --> Wait
Case 1044,2010-05-18 08:44:56,Wait,Case 1044,2010-05-18 09:26:17,Take in charge ticket,Wait --> Take in charge ticket
Case 1044,2010-05-18 09:26:17,Take in charge ticket,Case 1044,2010-05-18 09:28:09,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1044,2010-05-18 09:28:09,Resolve ticket,Case 1044,2010-06-26 14:50:32,Closed,Resolve ticket --> Closed
Case 1045,2011-06-24 10:10:25,Assign seriousness,Case 1045,2011-06-27 13:36:12,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1045,2011-06-27 13:36:12,Take in charge ticket,Case 1045,2011-06-27 13:37:30,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1045,2011-06-27 13:37:30,Resolve ticket,Case 1045,2011-08-22 10:20:40,Closed,Resolve ticket --> Closed
Case 1046,2012-04-02 08:42:04,Assign seriousness,Case 1046,2012-04-02 08:42:15,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1046,2012-04-02 08:42:15,Take in charge ticket,Case 1046,2012-04-02 10:12:04,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1046,2012-04-02 10:12:04,Resolve ticket,Case 1046,2012-05-18 08:52:05,Closed,Resolve ticket --> Closed
Case 1047,2011-07-14 10:17:31,Assign seriousness,Case 1047,2011-07-15 07:34:30,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1047,2011-07-15 07:34:30,Assign seriousness,Case 1047,2011-07-15 09:49:56,Take in charge ticket,Assign seriousness --> Take in charge ticket
