Case ID,Assign seriousness,Closed,Create SW anomaly,DUPLICATE,INVALID,Insert ticket,RESOLVED,Require upgrade,Resolve SW anomaly,Resolve ticket,Schedule intervention,Take in charge ticket,VERIFIED,Wait
Case 1044,2010-05-13 14:45:13,2010-06-26 14:50:32,,,,,,,,2010-05-17 17:10:24,,2010-05-17 16:21:00,,2010-05-18 08:44:56
Case 1045,2011-06-24 10:10:25,2011-08-22 10:20:40,,,,,,,,2011-06-27 13:37:30,,2011-06-27 13:36:12,,
Case 1046,2012-04-02 08:42:04,2012-05-18 08:52:05,,,,,,,,2012-04-02 10:12:04,,2012-04-02 08:42:15,,
Case 1047,2011-07-14 10:17:31,2011-08-27 10:20:45,,,,,,,,2011-07-15 13:18:05,,2011-07-15 09:49:56,,2011-07-15 09:51:05
Case 1048,2010-12-13 10:53:33,2011-01-19 08:50:44,,,,,,,,2010-12-30 08:41:14,,2010-12-13 10:53:45,,2010-12-13 10:54:14
Case 1049,2012-02-09 14:14:35,2012-03-24 14:20:38,,,,,,,,2012-02-14 16:45:38,,2012-02-09 14:15:26,,
Case 105,2012-11-20 09:00:13,2012-12-22 16:04:35,,,,,,,,2012-12-07 16:04:16,,2012-11-26 16:42:13,,2012-11-30 09:01:21
Case 1050,2011-05-12 08:27:06,2011-06-23 12:44:59,,,,,,,,2011-05-20 07:06:09,,2011-05-12 08:27:37,,2011-05-13 10:46:18
Case 1051,2010-12-27 08:06:01,2011-02-02 11:26:23,,,,,,,,2011-01-18 11:26:09,,2010-12-27 14:46:09,,
Case 1052,2011-02-03 14:26:08,2011-04-03 13:30:41,,,,,,,,2011-02-03 16:20:49,,2011-02-03 16:19:25,,
Case 1053,2011-06-30 14:53:16,2011-08-04 13:20:00,,,,,,,,2011-07-20 13:19:43,,2011-07-05 14:22:24,,2011-07-05 14:26:48
Case 1054,2013-02-07 13:32:19,2013-03-16 13:51:45,,,,,,,,2013-03-01 13:51:27,,2013-02-07 13:32:43,,2013-02-15 11:48:40
Case 1055,2012-01-23 15:13:31,2012-02-23 15:20:47,,,,,,,,2012-01-24 14:19:03,,2012-01-23 16:49:47,,
Case 1056,2012-06-06 12:08:26,2012-07-07 12:10:46,,,,,,,,2012-06-06 15:16:31,,2012-06-06 12:08:43,,
Case 1057,2013-01-10 16:49:27,2013-03-05 09:37:48,,,,,,2013-01-18 15:35:16,,2013-02-18 09:37:33,,2013-01-11 11:57:25,,2013-01-18 15:35:51
Case 1058,2012-06-28 12:24:41,2012-08-02 15:43:35,,,,,,,,2012-07-18 15:43:16,,2012-06-28 12:25:05,,2012-07-13 13:26:12
Case 1059,2012-01-09 07:53:54,2012-02-19 17:00:46,,,,,,,,2012-01-09 10:31:05,,2012-01-09 09:30:45,,
Case 106,2013-02-15 13:12:20,2013-03-20 08:06:31,,,,,,,,2013-03-05 08:06:13,,,,
Case 1060,2011-09-02 13:25:55,2011-10-04 13:56:37,,,,,,,,2011-09-19 13:56:27,,2011-09-14 13:30:44,,
Case 1061,2011-06-21 08:55:05,2011-08-12 09:27:14,,,,,,,,2011-07-28 09:26:55,,2011-06-27 09:24:28,,2011-07-20 13:14:44
Case 1063,2012-07-11 14:48:16,2012-09-02 14:50:27,,,,,,,,2012-07-11 15:24:11,,2012-07-11 14:48:28,,
Case 1064,2012-05-21 15:39:11,2012-07-13 15:41:15,,,,,,,,2012-05-29 07:08:42,,2012-05-22 07:34:16,,
Case 1065,2011-08-22 14:39:21,2011-09-22 14:40:15,,,,,,,,2011-08-25 12:58:59,,,,
Case 1066,2012-05-24 09:32:06,2012-07-11 09:40:38,,,,,,,,2012-05-25 12:30:22,,2012-05-25 09:42:28,,
Case 1067,2012-02-14 10:34:26,2012-03-23 10:40:44,,,,,,,,2012-02-16 11:40:57,,2012-02-14 11:48:20,,
Case 1068,2012-05-15 08:49:37,2012-07-07 08:50:39,,,,,,,,2012-05-21 13:18:53,,2012-05-18 12:33:18,,
Case 1069,2011-06-21 14:09:39,2011-07-24 14:11:08,,,,,,,,2011-06-21 14:10:56,,2011-06-21 14:10:08,,
Case 107,2013-10-30 13:25:20,2013-12-03 08:20:56,,,,,,,,2013-11-18 08:20:45,,2013-10-31 14:48:10,,2013-11-15 08:31:41
Case 1070,2012-11-23 08:40:05,2012-12-28 17:39:52,,,,,,,,2012-11-27 12:16:27,,2012-11-27 12:09:04,,2012-12-05 09:59:17
Case 1071,2011-05-18 09:38:14,2011-07-01 09:40:32,,,,,,,,2011-05-23 10:35:13,,2011-05-18 09:38:35,,
Case 1072,2012-07-17 10:43:08,2012-09-01 10:50:21,,,,,,,,2012-07-20 13:17:21,,2012-07-18 14:58:17,,
Case 1073,2011-12-30 08:47:19,2012-02-08 08:50:32,,,,,,,,2012-01-02 09:45:20,,2012-01-02 08:40:49,,
Case 1074,2011-10-28 10:45:32,2011-12-07 11:10:25,,,,,,,,2011-11-17 13:49:37,,2011-11-02 16:41:16,,2011-11-10 14:21:37
Case 1075,2012-08-07 10:01:46,2012-09-20 08:54:27,,,,,,,,2012-09-05 08:54:11,,2012-08-23 07:05:34,,
Case 1076,2012-04-24 15:48:55,2012-06-14 12:31:39,,,,,,,,2012-05-15 12:31:15,,2012-04-30 14:02:06,,2012-05-08 09:17:42
Case 1077,2010-09-01 15:21:14,2010-10-30 15:31:26,,,,,,,,2010-09-09 10:18:11,,2010-09-09 10:02:08,,
Case 1078,2011-02-09 11:06:02,2011-03-16 11:10:57,,,,,,,,2011-02-09 14:12:01,,2011-02-09 11:08:31,,
Case 1079,2013-10-23 07:07:54,2013-12-03 15:53:16,,,,,,,,2013-11-18 15:53:04,,2013-10-23 07:42:54,,2013-10-23 08:21:51
Case 108,2011-01-12 11:28:16,2011-02-25 08:13:02,,,,,,,,2011-01-26 08:12:39,,2011-01-24 09:21:26,,
Case 1080,2010-06-09 10:33:39,2010-07-15 15:54:29,,,,2010-06-09 10:33:30,,,,2010-06-30 15:54:13,,2010-06-09 10:34:14,,2010-06-09 10:50:30
Case 1081,2011-11-14 10:15:37,2011-12-28 09:20:21,,,,,,,,2011-11-22 16:37:07,,2011-11-16 16:08:22,,2011-11-17 08:31:09
Case 1082,2011-08-22 09:38:09,2011-10-19 13:03:55,,,,,,,,2011-09-19 13:03:33,,2011-08-29 08:23:11,,
Case 1083,2012-02-28 16:02:22,2012-03-30 15:10:24,,,,,,,,2012-02-28 16:56:41,,2012-02-28 16:55:56,,
Case 1084,2012-04-24 08:13:17,2012-06-14 07:20:36,,,,,,,,2012-05-30 07:20:16,,2012-05-23 15:46:12,,
Case 1085,2010-09-30 09:29:04,2010-11-18 09:20:48,,,,,,,,2010-10-05 07:34:59,2010-10-04 08:41:36,2010-10-04 08:40:12,,2010-10-05 07:34:10
Case 1086,2012-07-24 07:42:04,2012-09-08 07:51:51,,,,,,,,2012-07-30 09:52:47,,2012-07-24 07:43:06,,
Case 1087,2013-01-28 11:21:15,2013-02-28 11:24:00,,,,,,,,2013-01-30 14:02:01,,2013-01-28 15:44:24,,2013-01-29 15:31:26
Case 1088,2013-04-02 12:24:40,2013-05-03 09:24:29,,,,,,,,2013-04-18 09:24:14,,,,
Case 1089,2011-03-10 14:37:52,2011-04-29 10:27:10,,,,,,,,2011-03-30 10:26:55,,2011-03-10 14:38:31,,2011-03-10 14:44:28
Case 109,2010-09-24 15:35:31,2010-11-23 09:34:09,,,,,,,,2010-11-08 09:33:57,,2010-09-27 09:11:48,,2010-09-28 08:31:41
Case 1090,2012-05-28 14:40:01,2012-06-28 14:50:42,,,,,,,,2012-05-30 14:02:45,,2012-05-30 10:47:50,,
Case 1092,2012-07-12 13:22:39,2012-09-03 13:30:39,,,,,,,,2012-07-12 13:58:17,,,,
Case 1093,2012-01-13 16:27:38,2012-02-17 16:30:54,,,,,,,,2012-01-13 16:34:53,,,,
Case 1094,2012-06-13 07:45:34,2012-07-27 07:50:32,,,,,,,,2012-06-18 14:50:52,,2012-06-13 10:27:30,,
Case 1095,2011-09-26 15:01:58,2011-11-11 16:12:58,,,,,,,,2011-09-28 15:28:35,,,,
Case 1096,2012-11-21 16:09:29,2012-12-27 09:44:41,,,,,,,,2012-12-12 09:44:27,,2012-11-27 13:09:39,,
Case 1097,2010-04-08 13:02:28,2010-05-21 13:36:47,2010-04-09 09:34:14,,,,,,,2010-05-03 15:25:42,,2010-04-08 13:02:52,,
Case 1098,2011-07-08 13:48:51,2011-08-10 13:50:19,,,,,,,,2011-07-21 15:51:24,,2011-07-13 16:01:28,,
Case 1099,2010-06-23 15:01:22,2010-08-06 15:11:06,,,,,,,,2010-06-28 11:08:00,,2010-06-28 11:07:41,,
Case 11,2011-12-21 15:24:41,2012-01-21 15:30:31,,,,,,,,2011-12-22 09:55:43,,2011-12-21 15:25:34,,
Case 110,2010-12-16 09:33:24,2011-02-13 09:40:36,,,,,,,,2010-12-16 15:52:50,,2010-12-16 09:40:25,,
Case 1100,2010-10-22 12:35:14,2010-12-04 15:41:48,,,,,,,,2010-11-05 14:11:21,,2010-10-22 12:40:36,,2010-10-26 10:16:18
Case 1101,2012-08-02 09:12:34,2012-09-09 14:51:02,,,,,,,,2012-08-10 14:50:38,,2012-08-02 09:14:39,,
Case 1102,2012-07-31 13:05:19,2012-09-07 13:11:10,,,,,,,,2012-08-07 10:53:38,,2012-07-31 15:14:45,,
Case 1103,2012-07-26 10:09:20,2012-09-08 10:10:41,,,,,,,,2012-07-27 08:54:16,,2012-07-26 10:22:56,,
Case 1104,2012-12-14 15:08:04,2013-02-07 09:39:18,,,,,,,,2013-01-23 09:39:01,,2013-01-02 09:05:43,,
Case 1105,2011-10-18 12:06:24,2011-12-10 13:10:36,,,,,,,,2011-10-20 08:14:31,,2011-10-20 07:45:22,,
Case 1106,2012-07-18 08:23:30,2012-09-02 08:30:17,,,,,,,,2012-07-18 12:24:11,,2012-07-18 08:23:42,,
Case 1107,2011-10-13 07:17:13,2011-11-15 08:20:41,,,,,,,,2011-10-14 13:22:09,,2011-10-14 12:41:30,,
Case 1108,2011-03-01 08:24:41,2011-04-03 07:31:40,,,,,,,,2011-03-01 11:29:13,,2011-03-01 08:25:14,,
Case 1109,2013-04-19 14:15:35,2013-05-21 07:34:36,,,,,,,,2013-05-06 07:34:25,,2013-04-26 10:01:22,,2013-04-29 10:35:28
Case 111,2010-06-29 14:00:48,2010-08-05 14:10:24,,,,,,,,2010-06-30 08:05:04,,2010-06-29 15:16:26,,2010-07-01 09:00:03
Case 1110,2013-07-10 09:39:15,2013-08-10 08:17:19,,,,,,,,2013-07-26 08:17:04,,2013-07-10 09:41:19,,2013-07-10 09:41:34
Case 1111,2012-11-29 10:43:04,2013-01-11 08:18:00,,,,,,,,2012-12-27 08:17:41,,2012-12-05 10:33:55,,2012-12-05 11:39:21
Case 1112,2012-07-31 14:43:10,2012-09-21 14:38:38,,,,,,,,2012-09-06 14:38:27,,2012-08-02 08:22:59,,2012-08-14 10:57:41
Case 1113,2013-10-15 15:19:24,2013-12-04 08:24:18,,,,,,,,2013-11-19 08:23:59,,2013-10-16 13:05:01,,2013-10-16 14:07:54
Case 1114,2011-05-25 09:38:13,2011-07-07 13:02:33,,,,,,,,2011-06-22 13:02:19,,2011-05-25 09:38:37,,2011-05-26 08:43:14
Case 1115,2012-02-28 10:47:09,2012-04-14 09:51:26,,,,,,,,2012-02-28 16:40:58,,2012-02-28 10:47:25,,
Case 1116,2012-07-30 15:42:21,2012-09-12 15:03:35,,,,,,,,2012-08-28 15:03:21,,2012-07-31 15:23:18,,
Case 1117,2011-10-26 15:30:54,2011-11-26 16:40:24,,,,,,,,2011-11-02 08:13:25,,2011-11-02 08:13:17,,
Case 1118,2011-09-05 14:28:02,2011-10-06 14:31:07,,,,,,,,2011-09-15 15:06:12,,2011-09-15 10:57:15,,
Case 1119,2011-05-26 08:26:22,2011-07-09 08:30:30,,,,,,,,2011-05-31 15:00:20,,2011-05-26 08:26:50,,
Case 112,2011-10-06 07:50:55,2011-11-08 09:00:20,,,,,,,,2011-10-14 14:44:32,,2011-10-07 14:03:47,,
Case 1120,2012-01-05 08:26:10,2012-02-12 08:31:29,,,,,,,,2012-01-05 10:20:52,,2012-01-05 08:26:27,,
Case 1121,2010-04-28 13:40:05,2010-05-29 13:50:19,,,,,,,,2010-05-12 09:52:03,,2010-05-12 09:51:57,,
Case 1122,2012-07-31 07:20:05,2012-09-07 07:30:20,,,,,,,,2012-07-31 10:24:45,,2012-07-31 07:20:14,,
Case 1123,2010-11-16 10:40:24,2010-12-30 10:50:27,,,,,,,,2010-11-16 11:32:57,,2010-11-16 10:40:56,,
Case 1124,2013-02-06 11:13:49,2013-03-09 14:29:52,,,,,,,,2013-02-22 14:29:36,,2013-02-21 09:04:45,,
Case 1125,2012-05-17 14:34:02,2012-06-19 14:41:18,,,,,,,,2012-05-18 14:22:22,,2012-05-17 15:07:53,,
Case 1126,2012-01-10 13:31:21,2012-02-10 13:41:18,,,,,,,,2012-01-13 08:28:55,,,,
Case 1127,2012-01-18 09:39:21,2012-02-18 09:40:18,,,,,,,,2012-01-18 14:14:02,,2012-01-18 11:23:37,,
Case 1128,2012-04-11 12:51:59,2012-05-12 13:00:18,,,,,,,,2012-04-16 09:54:56,,2012-04-11 12:52:12,,
Case 1129,2013-11-25 13:18:40,2014-01-02 09:49:27,,,,,,,,2013-12-18 09:49:09,,2013-12-09 14:29:08,,2013-12-09 16:33:59
Case 113,2010-05-24 10:23:15,2010-06-09 14:11:39,,,,2010-05-06 15:51:48,,,,2010-05-25 14:11:28,,2010-05-25 13:48:24,,
Case 1130,2010-02-09 16:07:04,2010-03-29 15:11:23,,,,,,,,2010-02-09 16:07:18,,2010-02-09 16:07:11,,
Case 1131,2012-03-28 09:03:55,2012-04-28 09:10:22,,,,,,,,2012-03-28 09:08:00,,2012-03-28 09:04:21,,
Case 1132,2012-01-11 10:52:28,2012-02-24 11:00:23,,,,,,,,2012-01-18 15:15:37,,2012-01-11 13:40:05,,
Case 1133,2012-01-18 10:23:55,2012-03-04 10:31:13,,,,,,,,2012-01-18 13:50:24,,2012-01-18 10:24:06,,
Case 1134,2012-07-17 07:22:25,2012-09-01 08:14:21,,,,,,,,2012-07-17 12:52:35,,2012-07-17 07:22:33,,
Case 1135,2012-06-08 08:03:05,2012-07-28 13:19:53,,,,,,2012-06-14 07:56:56,,2012-07-13 13:19:37,,2012-06-08 08:03:28,,
Case 1136,2012-06-12 08:23:44,2012-07-26 08:30:38,,,,,,,,2012-06-15 06:56:23,,,,
Case 1137,2012-06-18 10:44:18,2012-08-03 10:50:34,,,,,,,,2012-06-18 14:46:46,,2012-06-18 14:46:31,,
Case 1138,2012-01-09 16:23:38,2012-03-08 16:30:40,,,,,,,,2012-01-17 11:49:33,,2012-01-09 16:23:57,,
Case 1139,2011-12-13 15:51:46,2012-01-13 16:00:22,,,,,,,,2011-12-13 16:57:49,,2011-12-13 15:52:10,,
Case 114,2013-09-11 12:51:59,2013-10-22 10:36:06,,,,,,,,2013-10-07 10:35:46,,2013-09-11 12:52:24,,2013-09-25 12:28:56
Case 1140,2011-01-19 09:17:21,2011-03-05 14:20:39,,,,,,,,2011-02-09 11:37:34,,2011-01-25 10:28:10,,2011-01-25 16:33:05
Case 1141,2010-08-11 12:41:35,2010-10-05 09:04:36,,,,,,,,2010-09-20 09:04:28,,2010-08-30 15:03:37,,2010-08-30 15:04:04
Case 1142,2013-03-05 16:34:50,2013-05-03 07:23:28,,,,,,2013-03-25 09:47:53,,2013-04-18 07:23:12,,2013-03-22 09:23:52,,2013-03-25 09:47:35
Case 1143,2012-07-23 11:01:18,2012-09-14 11:00:39,,,,,,,,2012-07-25 08:28:00,,2012-07-23 15:01:05,,
Case 1144,2013-02-14 11:50:14,2013-03-22 16:50:54,,,,,,2013-03-07 14:05:52,,2013-02-15 10:53:03,,2013-02-21 08:06:25,,
Case 1145,2012-10-16 08:57:53,2012-11-23 13:34:43,,,,,,,,2012-11-08 13:34:25,,2012-11-08 08:16:41,,2012-11-08 08:28:57
Case 1146,2011-04-04 10:13:39,2011-05-05 10:20:21,,,,,,,,2011-04-04 10:16:27,,2011-04-04 10:14:04,,
Case 1147,2011-01-11 11:54:55,2011-03-11 12:00:54,,,,,,,,2011-01-14 08:52:06,,2011-01-14 08:33:59,,
Case 1148,2010-12-14 11:04:53,2011-01-27 11:10:35,,,,,,,,2010-12-14 11:05:33,,2010-12-14 11:05:16,,
Case 1149,2011-10-25 07:25:02,2011-12-08 08:31:06,,,,,,,,2011-10-25 09:50:54,,2011-10-25 07:26:54,,
Case 115,2013-02-14 11:54:22,2013-04-05 12:53:14,,,,,,,,2013-03-21 13:52:57,,2013-03-04 09:19:59,,2013-03-04 09:20:40
Case 1150,2010-10-11 08:44:04,2010-11-11 09:50:24,,,,,,,,2010-10-11 15:25:54,,2010-10-11 15:25:04,,
Case 1151,2010-05-24 16:34:26,2010-07-14 16:18:25,,,,,,,,2010-06-29 16:18:05,,2010-06-29 16:11:34,,
Case 1152,2010-10-05 08:03:32,2010-11-05 09:11:01,,,,,,,,2010-10-06 08:59:12,,2010-10-06 08:51:51,,
Case 1153,2012-01-10 15:57:01,2012-03-01 17:04:42,,,,,,,,2012-01-31 17:04:22,,2012-01-16 08:53:10,,2012-01-27 15:32:26
Case 1154,2012-05-21 07:18:26,2012-06-21 07:30:37,,,,,,,,2012-05-21 08:22:00,,2012-05-21 07:26:51,,2012-05-21 07:19:22
Case 1155,2010-09-16 12:40:30,2010-11-14 14:01:36,,,,,,,,2010-09-30 13:01:10,,2010-09-22 13:06:53,,2010-09-23 08:55:05
Case 1156,2013-11-04 14:54:01,2014-01-03 10:02:38,,,,,,,,2013-12-19 10:02:24,,2013-11-20 08:38:45,,2013-11-20 09:10:39
Case 1157,2011-09-14 15:45:59,2011-10-28 15:51:18,,,,,,,,2011-09-28 07:56:30,,2011-09-26 15:57:04,,
Case 1158,2011-06-23 07:35:48,2011-08-05 13:34:19,,,,,,,,2011-07-21 13:33:58,,2011-06-23 09:52:00,,2011-06-23 10:00:20
Case 1159,2013-11-20 11:53:42,2013-12-21 14:04:11,,,,,,,,2013-12-06 14:03:58,,2013-11-28 08:48:10,,2013-11-28 10:48:42
Case 116,2011-04-08 13:02:03,2011-05-30 13:11:18,,,,,,,,2011-04-08 13:07:10,,2011-04-08 13:02:38,,
Case 1160,2011-04-14 07:32:36,2011-05-28 07:40:40,,,,,,,,2011-04-14 15:03:02,,2011-04-14 07:58:44,,
Case 1161,2012-07-18 09:00:13,2012-09-01 08:14:21,,,,,,,,2012-07-20 10:07:28,,2012-07-20 07:52:34,,
Case 1162,2011-01-26 14:45:02,2011-03-13 14:50:35,,,,,,,,2011-01-31 13:34:41,,2011-01-27 08:40:54,,
Case 1163,2012-07-24 07:38:39,2012-09-06 07:40:23,,,,,,,,2012-07-24 07:39:01,,,,
Case 1164,2013-03-01 16:50:10,2013-04-11 07:27:14,,,,,,,,2013-03-27 08:27:00,,2013-03-25 17:00:20,,
Case 1165,2010-09-15 07:50:56,2010-10-29 08:00:22,,,,,,,,2010-09-15 07:52:02,,2010-09-15 07:51:39,,
Case 1166,2010-10-25 13:16:01,2010-11-26 14:22:13,,,,,,,,2010-10-26 07:50:24,,2010-10-26 07:49:21,,
Case 1167,2011-02-14 09:03:48,2011-04-12 10:32:07,,,,,,,,2011-03-14 09:31:18,,2011-02-14 09:04:20,,2011-02-15 16:14:19
Case 1168,2011-06-17 15:59:46,2011-08-03 07:57:38,,,,,,,,2011-07-19 07:57:22,,2011-07-06 16:08:34,,2011-06-17 16:00:22
Case 1169,2012-07-30 15:03:11,2012-09-14 15:11:18,,,,,,,,2012-07-31 13:37:16,,,,
Case 117,2012-07-19 10:59:25,2012-09-06 11:00:48,,,,,,,,2012-07-20 14:44:15,,2012-07-20 08:49:34,,
Case 1170,2011-01-31 09:12:34,2011-03-03 09:20:27,,,,,,,,2011-02-01 16:37:01,,2011-01-31 10:43:27,,
Case 1171,2011-12-13 08:19:55,2012-01-28 08:21:08,,,,,,,,2011-12-13 11:22:43,,2011-12-13 11:13:25,,
Case 1172,2012-03-19 10:50:29,2012-04-19 12:10:39,,,,,,,,2012-04-02 09:05:06,,2012-03-29 14:18:31,,2012-04-02 07:52:47
